City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Nampula,MZ,2022-02-08 05:36:37,-15.1165,39.2666,73.35,94,75,2.3
59,Atuona,PF,2022-02-08 05:30:05,-9.8,-139.0333,78.55,74,10,16.04
60,Xam Nua,LA,2022-02-08 05:36:38,20.4197,104.0439,79.12,35,11,5.44
61,Bulancak,TR,2022-02-08 05:36:38,40.9372,38.2291,53.42,50,75,6.91
62,Ambulu,ID,2022-02-08 05:36:38,-8.345,113.6058,88.32,61,39,6.71
63,Meadow Lake,US,2022-02-08 05:36:38,34.8014,-106.5436,35.69,61,0,2.06
64,Kenai,US,2022-02-08 05:35:41,60.5544,-151.2583,24.1,90,100,23.02
65,Trimbak,IN,2022-02-08 05:36:39,19.9333,73.55,73.8,40,3,2.59
66,Chumikan,RU,2022-02-08 05:36:39,54.7183,135.315,6.04,82,99,12.82
67,Ust-Koksa,RU,2022-02-08 05:36:39,50.2696,85.6108,12.25,75,78,0.58
68,Tual,ID,2022-02-08 05:33:47,-5.6667,132.75,83.91,73,64,8.63
69,Butaritari,KI,2022-02-08 05:30:14,3.0707,172.7902,82.63,77,92,18.43
70,Surt,LY,2022-02-08 05:36:40,31.2089,16.5887,58.19,76,25,14.99
71,Kavaratti,IN,2022-02-08 05:35:21,10.5669,72.642,78.66,72,22,10.54
72,San Jose,US,2022-02-08 05:36:40,37.3394,-121.895,59.25,63,0,1.99
73,Busselton,AU,2022-02-08 05:25:08,-33.65,115.3333,73.09,69,91,9.48
74,Seeheim-Jugenheim,DE,2022-02-08 05:36:41,49.765,8.6519,41.97,88,94,11.12
75,Matamoros,MX,2022-02-08 05:36:41,25.5333,-103.25,40.53,67,12,2.86
76,Fuxin,CN,2022-02-08 05:36:41,42.0156,121.6589,31.71,37,0,4.29
77,Monrovia,LR,2022-02-08 05:32:36,6.3005,-10.7969,76.87,85,61,2.3
78,Cheney,US,2022-02-08 05:36:41,47.4874,-117.5758,37.22,83,0,10.36
79,Saint Anthony,US,2022-02-08 05:29:01,45.0205,-93.218,15.93,76,0,9.22
80,El Seibo,DO,2022-02-08 05:36:42,18.7641,-69.0375,69.26,95,47,4.16
81,Flin Flon,CA,2022-02-08 05:32:33,54.7682,-101.865,30.65,98,100,7.67
82,Sa Kaeo,TH,2022-02-08 05:36:42,13.75,102.3333,97.23,31,22,1.41
83,Georgetown,MY,2022-02-08 05:36:43,5.4112,100.3354,91.33,71,20,11.5
84,Avarua,CK,2022-02-08 05:26:51,-21.2078,-159.775,78.85,83,40,10.36
85,Catabola,AO,2022-02-08 05:36:43,-12.15,17.2833,59.76,87,100,5.57
86,Rocha,UY,2022-02-08 05:36:43,-34.4833,-54.3333,62.92,81,42,5.23
87,Bilibino,RU,2022-02-08 05:30:16,68.0546,166.4372,-20.0,73,3,4.23
88,Rio Grande,BR,2022-02-08 05:36:44,-32.035,-52.0986,62.94,84,2,10.47
89,Bluff,NZ,2022-02-08 05:28:53,-46.6,168.3333,58.8,78,12,15.64
90,Carnarvon,AU,2022-02-08 05:36:44,-24.8667,113.6333,84.27,51,0,24.16
91,Husavik,IS,2022-02-08 05:36:13,66.0449,-17.3389,30.11,65,98,15.23
92,Grindavik,IS,2022-02-08 05:27:45,63.8424,-22.4338,30.67,93,100,48.34
93,Vao,NC,2022-02-08 05:28:53,-22.6667,167.4833,80.38,86,18,15.93
94,Provideniya,RU,2022-02-08 05:37:45,64.3833,-173.3,-9.29,64,0,8.95
95,New Norfolk,AU,2022-02-08 05:31:31,-42.7826,147.0587,78.66,37,65,3.0
96,Salalah,OM,2022-02-08 05:37:45,17.0151,54.0924,71.69,18,0,27.63
97,Roma,US,2022-02-08 05:36:45,43.2128,-75.4557,31.73,94,0,0.0
98,Izhma,RU,2022-02-08 05:37:45,65.0083,53.9113,9.23,94,100,6.85
99,Port Augusta,AU,2022-02-08 05:32:43,-32.5,137.7667,89.71,24,95,7.29
100,Bambous Virieux,MU,2022-02-08 05:37:46,-20.3428,57.7575,82.65,78,75,12.66
101,East London,ZA,2022-02-08 05:28:09,-33.0153,27.9116,72.54,88,0,3.44
102,Honiara,SB,2022-02-08 05:37:46,-9.4333,159.95,77.9,93,100,8.95
103,Hilo,US,2022-02-08 05:28:56,19.7297,-155.09,71.33,87,100,3.44
104,Aklavik,CA,2022-02-08 05:37:46,68.2191,-135.0107,-33.77,96,100,2.91
105,Soavinandriana,MG,2022-02-08 05:37:47,-19.1667,46.7333,66.24,77,100,2.55
106,Vanimo,PG,2022-02-08 05:37:47,-2.6741,141.3028,84.42,70,94,4.74
107,Ribeira Grande,PT,2022-02-08 05:37:47,38.5167,-28.7,59.7,72,100,6.89
108,Lebu,CL,2022-02-08 05:37:48,-37.6167,-73.65,59.32,85,89,14.05
109,Khandyga,RU,2022-02-08 05:28:07,62.6667,135.6,-17.28,86,100,1.81
110,Srinagar,IN,2022-02-08 05:37:48,34.0833,74.8167,42.17,53,86,2.51
111,Svetlaya,RU,2022-02-08 05:37:48,46.5389,138.3297,22.8,48,6,6.51
112,Vardo,NO,2022-02-08 05:30:13,70.3705,31.1107,26.8,90,87,22.06
113,Laurel,US,2022-02-08 05:37:01,39.0993,-76.8483,38.82,93,100,5.75
114,High Level,CA,2022-02-08 05:37:49,58.5169,-117.136,6.91,85,75,13.8
115,Medea,DZ,2022-02-08 05:37:49,36.2642,2.7539,28.85,72,0,3.47
116,Cacoal,BR,2022-02-08 05:36:38,-11.4386,-61.4472,71.82,98,90,3.04
